semantic.patch;exit.status;perc.of.cpu;elapsed.real.time;elapsed.system.time;elapsed.user.time
list_entry_update;0;15%;13.11;1.06;1.01
list_entry_update;0;109%;0.09;0.04;0.05
list_entry_update;0;102%;0.83;0.34;0.51
list_entry_update;0;14%;15.94;1.20;1.04
list_entry_update;0;110%;0.25;0.12;0.16
list_entry_update;0;5%;37.55;0.94;0.99
list_entry_update;0;5%;37.80;0.99;1.07
list_entry_update;0;15%;15.61;1.17;1.25
list_entry_update;0;18%;12.03;1.10;1.13
list_entry_update;0;50%;4.19;1.09;1.01
list_entry_update;0;109%;0.09;0.03;0.06
list_entry_update;0;18%;10.57;0.99;0.92
list_entry_update;0;111%;0.25;0.10;0.17
list_entry_update;0;111%;0.08;0.02;0.07
cstptr;0;10%;17.06;0.82;0.97
cstptr;0;15%;13.04;0.96;1.07
cstptr;0;109%;0.09;0.03;0.07
cstptr;0;111%;0.25;0.12;0.15
cstptr;0;10%;14.15;0.58;0.86
cstptr;0;9%;20.39;0.98;0.99
cstptr;0;111%;0.24;0.11;0.15
cstptr;0;93%;1.55;0.70;0.74
cstptr;0;14%;14.01;0.97;1.03
cstptr;0;110%;0.09;0.03;0.06
cstptr;0;24%;8.62;1.02;1.08
cstptr;0;6%;36.59;1.15;1.07
cstptr;0;18%;12.91;1.14;1.29
cstptr;0;14%;15.04;1.12;1.11
cstptr;0;55%;3.90;1.07;1.08
cstptr;0;111%;0.25;0.12;0.16
cstptr;0;18%;11.41;1.05;1.04
cstptr;0;109%;0.28;0.11;0.19
cstptr;0;111%;0.27;0.12;0.18
doubleinit;0;14%;16.54;1.16;1.27
doubleinit;0;14%;14.91;1.07;1.16
doubleinit;0;109%;0.18;0.06;0.14
doubleinit;0;110%;0.11;0.04;0.08
doubleinit;0;25%;8.40;1.06;1.05
doubleinit;0;21%;11.64;1.27;1.16
doubleinit;0;112%;0.24;0.10;0.17
doubleinit;0;100%;1.97;0.99;0.98
doubleinit;0;15%;13.22;1.06;0.98
doubleinit;0;110%;0.09;0.02;0.07
doubleinit;0;6%;31.67;0.92;1.09
doubleinit;0;7%;29.38;1.05;1.19
doubleinit;0;28%;8.46;1.06;1.37
doubleinit;0;13%;16.28;1.05;1.16
doubleinit;0;13%;14.51;0.93;0.97
doubleinit;0;110%;0.23;0.06;0.19
doubleinit;0;15%;12.75;0.93;1.05
doubleinit;0;111%;0.10;0.03;0.07
doubleinit;0;112%;0.11;0.05;0.07
mini_lock;0;14%;15.38;0.96;1.21
mini_lock;0;14%;16.25;1.04;1.23
mini_lock;0;109%;0.09;0.04;0.05
mini_lock;0;110%;0.19;0.07;0.14
mini_lock;0;87%;2.56;1.05;1.17
mini_lock;0;15%;14.13;1.08;1.14
mini_lock;0;107%;0.19;0.06;0.14
mini_lock;0;107%;1.02;0.51;0.58
mini_lock;0;13%;12.77;0.81;0.90
mini_lock;0;110%;0.09;0.03;0.07
mini_lock;0;6%;31.33;0.99;1.01
mini_lock;0;93%;2.76;1.31;1.28
mini_lock;0;14%;16.56;1.13;1.25
mini_lock;0;12%;17.32;1.05;1.15
mini_lock;0;27%;6.99;0.94;0.96
mini_lock;0;109%;0.21;0.06;0.17
mini_lock;0;5%;30.47;0.81;0.98
mini_lock;0;112%;0.14;0.07;0.09
mini_lock;0;111%;0.11;0.05;0.07
err_cast;0;685%;31.28;6.55;207.76
err_cast;0;447%;35.98;4.90;156.29
err_cast;0;741%;21.25;3.25;154.24
err_cast;0;743%;25.99;4.00;189.19
err_cast;0;380%;37.54;4.51;138.38
err_cast;0;623%;24.18;4.85;145.79
err_cast;0;736%;21.97;3.71;158.15
err_cast;0;749%;41.09;12.28;295.93
err_cast;0;396%;37.16;4.71;142.76
err_cast;0;744%;25.67;4.00;187.04
err_cast;0;728%;42.58;11.34;299.00
err_cast;0;429%;47.82;5.64;199.54
err_cast;0;450%;41.41;5.28;181.32
err_cast;0;519%;29.13;5.50;145.89
err_cast;0;656%;21.83;4.29;139.14
err_cast;0;738%;23.20;3.60;167.81
err_cast;0;211%;71.13;5.18;145.21
err_cast;0;744%;25.88;3.75;188.85
err_cast;0;754%;28.12;4.04;208.02
clk_put;0;101%;2.60;1.35;1.29
clk_put;0;20%;10.88;1.09;1.16
clk_put;0;111%;0.27;0.12;0.18
clk_put;0;111%;0.15;0.07;0.09
clk_put;0;27%;7.75;1.06;1.05
clk_put;0;14%;15.54;1.11;1.18
clk_put;0;111%;0.24;0.10;0.17
clk_put;0;108%;1.78;0.89;1.04
clk_put;0;17%;12.30;1.00;1.11
clk_put;0;110%;0.26;0.09;0.20
clk_put;0;112%;1.77;1.05;0.94
clk_put;0;91%;2.71;1.20;1.27
clk_put;0;24%;9.96;1.14;1.27
clk_put;0;13%;16.83;1.08;1.23
clk_put;0;12%;15.17;1.00;0.96
clk_put;0;110%;0.26;0.11;0.17
clk_put;0;7%;26.40;0.92;1.09
clk_put;0;110%;0.25;0.10;0.17
clk_put;0;112%;0.14;0.07;0.09
orplus;0;12%;19.15;1.09;1.29
orplus;0;22%;10.17;1.05;1.24
orplus;0;110%;0.18;0.04;0.15
orplus;0;108%;0.08;0.03;0.06
orplus;0;16%;12.50;1.02;1.05
orplus;0;34%;7.96;1.39;1.32
orplus;0;110%;0.26;0.10;0.18
orplus;0;111%;1.14;0.53;0.74
orplus;0;15%;12.84;1.03;1.02
orplus;0;110%;0.09;0.03;0.07
orplus;0;7%;25.94;0.94;1.12
orplus;0;22%;10.10;1.07;1.15
orplus;0;45%;5.66;1.29;1.30
orplus;0;12%;18.20;1.11;1.09
orplus;0;14%;13.10;0.97;0.97
orplus;0;111%;0.09;0.03;0.06
orplus;0;14%;14.26;0.94;1.07
orplus;0;109%;0.13;0.03;0.11
orplus;0;111%;0.26;0.10;0.18
doubletest;0;68%;4.36;1.61;1.36
doubletest;0;14%;15.33;1.15;1.04
doubletest;0;110%;0.25;0.11;0.16
doubletest;0;109%;0.19;0.07;0.14
doubletest;0;19%;10.64;0.92;1.10
doubletest;0;94%;2.60;1.11;1.34
doubletest;0;111%;0.09;0.04;0.06
doubletest;0;6%;29.82;0.91;1.03
doubletest;0;14%;13.96;0.94;1.08
doubletest;0;110%;0.09;0.03;0.06
doubletest;0;104%;1.67;0.86;0.87
doubletest;0;95%;2.77;1.35;1.28
doubletest;0;9%;24.33;0.99;1.21
doubletest;0;12%;18.09;1.08;1.12
doubletest;0;19%;9.88;0.96;0.94
doubletest;0;111%;0.09;0.03;0.07
doubletest;0;83%;1.82;0.75;0.77
doubletest;0;110%;0.09;0.03;0.06
doubletest;0;113%;0.09;0.04;0.05
array_size;0;714%;119.18;20.14;830.92
array_size;0;638%;89.10;9.79;559.48
array_size;0;723%;62.22;7.97;442.44
array_size;0;724%;61.95;8.36;440.54
array_size;0;754%;161.01;37.10;1178.17
array_size;0;641%;136.69;23.17;853.94
array_size;0;720%;60.50;8.06;427.72
array_size;0;700%;66.66;9.30;457.70
array_size;0;583%;71.75;8.44;410.01
array_size;0;726%;62.49;7.89;445.89
array_size;0;570%;69.46;8.80;387.37
array_size;0;434%;96.23;8.59;409.13
array_size;0;578%;75.47;8.89;428.04
array_size;0;660%;63.63;9.23;410.97
array_size;0;695%;57.85;8.84;393.42
array_size;0;717%;60.22;9.14;423.27
array_size;0;693%;74.12;10.09;503.84
array_size;0;712%;74.94;9.53;524.30
array_size;0;760%;156.73;37.38;1155.19
pool_zalloc-simple;0;169%;21.02;6.46;29.06
pool_zalloc-simple;0;190%;18.68;5.79;29.74
pool_zalloc-simple;0;555%;5.59;4.87;26.24
pool_zalloc-simple;0;567%;5.21;4.67;24.92
pool_zalloc-simple;0;205%;15.53;5.38;26.61
pool_zalloc-simple;0;213%;16.86;6.35;29.67
pool_zalloc-simple;0;613%;7.74;6.02;41.52
pool_zalloc-simple;0;455%;9.52;6.34;37.05
pool_zalloc-simple;0;215%;16.97;6.99;29.58
pool_zalloc-simple;0;575%;5.55;5.09;26.86
pool_zalloc-simple;0;61%;48.87;5.07;24.87
pool_zalloc-simple;0;106%;32.59;5.55;29.04
pool_zalloc-simple;0;138%;24.28;5.95;27.62
pool_zalloc-simple;0;473%;8.75;7.02;34.41
pool_zalloc-simple;0;163%;18.46;4.91;25.20
pool_zalloc-simple;0;608%;5.40;5.03;27.85
pool_zalloc-simple;0;86%;35.69;5.15;25.55
pool_zalloc-simple;0;599%;5.01;4.30;25.73
pool_zalloc-simple;0;594%;6.09;4.81;31.42
kfreeaddr;0;95%;2.76;1.35;1.29
kfreeaddr;0;34%;6.80;1.11;1.23
kfreeaddr;0;111%;0.26;0.11;0.18
kfreeaddr;0;109%;0.21;0.07;0.16
kfreeaddr;0;13%;15.19;1.10;0.96
kfreeaddr;0;12%;16.80;0.97;1.10
kfreeaddr;0;111%;0.24;0.10;0.16
kfreeaddr;0;114%;1.69;0.88;1.05
kfreeaddr;0;13%;15.04;1.05;1.04
kfreeaddr;0;110%;0.25;0.12;0.16
kfreeaddr;0;86%;2.31;0.98;1.02
kfreeaddr;0;13%;17.98;1.10;1.27
kfreeaddr;0;23%;10.26;1.15;1.27
kfreeaddr;0;17%;13.46;1.14;1.21
kfreeaddr;0;12%;15.40;0.92;1.04
kfreeaddr;0;109%;0.21;0.06;0.17
kfreeaddr;0;8%;23.53;1.00;0.99
kfreeaddr;0;110%;0.24;0.09;0.18
kfreeaddr;0;110%;0.12;0.04;0.08
warn;0;500%;21.47;6.78;100.75
warn;0;623%;26.97;7.97;160.13
warn;0;619%;16.95;5.14;99.78
warn;0;663%;15.98;4.15;101.84
warn;0;387%;26.17;6.28;95.18
warn;0;558%;21.85;8.03;114.07
warn;0;634%;17.26;6.29;103.26
warn;0;610%;17.09;5.87;98.51
warn;0;384%;26.68;6.54;96.15
warn;0;653%;15.60;5.26;96.60
warn;0;266%;38.87;5.91;97.55
warn;0;317%;32.15;6.47;95.68
warn;0;598%;17.88;6.83;100.20
warn;0;325%;31.89;7.33;96.35
warn;0;348%;29.89;5.69;98.48
warn;0;653%;16.04;5.27;99.60
warn;0;469%;24.08;7.10;105.85
warn;0;674%;20.65;5.56;133.77
warn;0;685%;31.70;10.39;207.06
returnvar;0;691%;567.73;27.92;3896.00
returnvar;0;750%;834.69;91.15;6176.10
returnvar;0;687%;494.16;12.52;3384.87
returnvar;0;654%;477.46;11.48;3111.59
returnvar;0;759%;1021.44;187.13;7572.30
returnvar;0;661%;556.63;18.99;3662.00
returnvar;0;677%;549.06;16.08;3704.06
returnvar;0;710%;584.65;49.29;4106.35
returnvar;0;642%;507.96;10.71;3253.37
returnvar;0;683%;548.11;16.63;3728.22
returnvar;0;672%;404.19;9.47;2710.50
returnvar;0;613%;525.95;11.18;3212.91
returnvar;0;651%;488.11;17.65;3164.20
returnvar;0;639%;527.00;12.52;3359.68
returnvar;0;689%;392.82;9.28;2700.67
returnvar;0;670%;524.90;17.23;3504.74
returnvar;0;727%;476.29;26.15;3440.40
returnvar;0;651%;485.95;12.60;3153.49
returnvar;0;718%;694.01;55.71;4930.32
ifcol;0;94%;2.79;1.26;1.36
ifcol;0;17%;12.96;1.20;1.06
ifcol;0;109%;0.18;0.07;0.12
ifcol;0;109%;0.16;0.05;0.12
ifcol;0;20%;9.88;1.02;1.02
ifcol;0;104%;2.60;1.47;1.24
ifcol;0;109%;0.18;0.07;0.12
ifcol;0;105%;1.84;1.01;0.92
ifcol;0;13%;15.36;1.01;1.04
ifcol;0;107%;0.21;0.08;0.14
ifcol;0;12%;16.33;0.89;1.13
ifcol;0;5%;38.46;1.12;1.12
ifcol;0;25%;9.93;1.17;1.33
ifcol;0;80%;3.37;1.42;1.28
ifcol;0;15%;13.02;0.94;1.04
ifcol;0;110%;0.24;0.11;0.15
ifcol;0;15%;12.95;0.91;1.05
ifcol;0;111%;0.26;0.10;0.18
ifcol;0;111%;0.08;0.03;0.06
device_node_continue;0;162%;24.01;4.81;34.29
device_node_continue;0;230%;20.88;4.83;43.20
device_node_continue;0;699%;4.28;2.45;27.53
device_node_continue;0;672%;6.69;4.48;40.54
device_node_continue;0;109%;35.90;4.66;34.48
device_node_continue;0;172%;23.68;5.17;35.65
device_node_continue;0;667%;5.61;3.77;33.72
device_node_continue;0;608%;7.87;4.85;43.00
device_node_continue;0;425%;10.54;6.55;38.33
device_node_continue;0;712%;7.72;3.93;51.08
device_node_continue;0;103%;34.07;4.40;30.85
device_node_continue;0;99%;38.67;4.58;33.72
device_node_continue;0;191%;21.52;5.23;36.01
device_node_continue;0;205%;19.06;4.98;34.14
device_node_continue;0;218%;15.22;4.08;29.17
device_node_continue;0;631%;5.65;3.74;31.93
device_node_continue;0;162%;24.13;4.92;34.41
device_node_continue;0;600%;5.82;3.72;31.24
device_node_continue;0;711%;5.39;2.95;35.45
boolreturn;0;772%;111.37;9.50;851.26
boolreturn;0;692%;132.81;11.18;909.16
boolreturn;0;788%;103.91;8.47;811.07
boolreturn;0;790%;115.96;9.57;907.65
boolreturn;0;750%;279.46;66.44;2029.75
boolreturn;0;738%;111.15;9.43;810.95
boolreturn;0;789%;98.58;8.24;770.04
boolreturn;0;789%;213.71;53.17;1634.64
boolreturn;0;706%;114.68;9.42;800.56
boolreturn;0;793%;152.16;17.10;1190.49
boolreturn;0;721%;119.39;13.55;847.71
boolreturn;0;769%;93.64;8.55;712.23
boolreturn;0;656%;119.46;8.53;776.14
boolreturn;0;723%;221.07;32.82;1566.36
boolreturn;0;721%;114.91;10.23;818.82
boolreturn;0;790%;114.07;9.69;891.96
boolreturn;0;777%;144.12;24.63;1096.38
boolreturn;0;789%;106.90;8.62;835.20
boolreturn;0;789%;142.44;15.97;1108.89
iounmap;0;97%;2.75;1.36;1.34
iounmap;0;15%;15.21;1.10;1.22
iounmap;0;111%;0.26;0.12;0.16
iounmap;0;108%;0.20;0.08;0.14
iounmap;0;15%;13.71;1.04;1.03
iounmap;0;33%;6.59;1.05;1.14
iounmap;0;110%;0.25;0.08;0.20
iounmap;0;112%;1.72;0.95;0.98
iounmap;0;19%;10.76;0.98;1.07
iounmap;0;110%;0.26;0.10;0.18
iounmap;0;110%;1.80;0.95;1.04
iounmap;0;63%;3.34;0.98;1.13
iounmap;0;15%;15.83;1.13;1.28
iounmap;0;94%;2.62;1.24;1.23
iounmap;0;11%;17.22;0.89;1.08
iounmap;0;111%;0.15;0.05;0.11
iounmap;0;8%;23.42;1.04;0.92
iounmap;0;110%;0.27;0.12;0.18
iounmap;0;107%;0.20;0.07;0.14
kfree;0;88%;3.10;1.24;1.50
kfree;0;54%;4.38;1.20;1.20
kfree;0;111%;0.26;0.11;0.17
kfree;0;109%;0.23;0.10;0.14
kfree;0;13%;14.88;1.04;1.03
kfree;0;9%;18.14;0.83;0.95
kfree;0;110%;0.24;0.08;0.18
kfree;0;114%;1.70;1.02;0.92
kfree;0;15%;13.91;1.02;1.08
kfree;0;111%;0.25;0.12;0.16
kfree;0;108%;1.83;1.02;0.97
kfree;0;83%;2.89;1.13;1.30
kfree;0;21%;12.73;1.29;1.44
kfree;0;19%;11.84;1.16;1.10
kfree;0;16%;11.86;0.97;0.99
kfree;0;110%;0.25;0.12;0.15
kfree;0;6%;32.72;0.98;1.04
kfree;0;110%;0.25;0.10;0.17
kfree;0;111%;0.20;0.09;0.13
odd_ptr_err;0;704%;72.53;11.16;500.05
odd_ptr_err;0;717%;90.12;12.71;633.83
odd_ptr_err;0;764%;92.15;13.29;691.01
odd_ptr_err;0;761%;98.96;11.83;741.67
odd_ptr_err;0;679%;54.87;7.95;364.68
odd_ptr_err;0;698%;63.97;9.40;437.14
odd_ptr_err;0;755%;54.41;8.05;403.01
odd_ptr_err;0;590%;83.38;9.04;482.95
odd_ptr_err;0;614%;64.10;8.30;385.56
odd_ptr_err;0;745%;55.20;7.18;404.32
odd_ptr_err;0;774%;96.05;22.03;721.71
odd_ptr_err;0;776%;118.90;24.87;898.72
odd_ptr_err;0;736%;60.81;8.97;439.24
odd_ptr_err;0;648%;66.82;8.64;424.98
odd_ptr_err;0;722%;56.68;8.09;401.65
odd_ptr_err;0;723%;55.88;7.32;397.23
odd_ptr_err;0;592%;67.26;8.34;389.90
odd_ptr_err;0;754%;65.62;8.58;486.87
odd_ptr_err;0;746%;65.36;8.89;479.25
bugon;0;463%;36.37;4.91;163.52
bugon;0;454%;36.92;4.47;163.45
bugon;0;768%;21.58;3.98;161.92
bugon;0;778%;25.25;4.10;192.50
bugon;0;489%;33.85;4.63;161.05
bugon;0;594%;29.79;5.54;171.66
bugon;0;767%;22.39;4.30;167.60
bugon;0;718%;23.02;4.90;160.53
bugon;0;492%;34.32;4.93;164.23
bugon;0;771%;21.88;3.36;165.40
bugon;0;570%;28.76;4.70;159.37
bugon;0;565%;29.61;5.06;162.47
bugon;0;591%;29.12;4.94;167.22
bugon;0;503%;39.20;5.51;191.77
bugon;0;463%;37.15;4.77;167.38
bugon;0;771%;21.60;3.57;163.09
bugon;0;548%;32.61;5.25;173.51
bugon;0;770%;22.59;3.83;170.26
bugon;0;784%;45.90;10.82;349.46
flags;0;58%;4.32;1.13;1.41
flags;0;14%;15.45;1.12;1.10
flags;0;108%;0.19;0.07;0.14
flags;0;110%;0.09;0.03;0.07
flags;0;5%;30.41;0.71;0.81
flags;0;68%;3.31;1.08;1.18
flags;0;113%;0.12;0.04;0.09
flags;0;89%;1.12;0.40;0.59
flags;0;15%;13.06;0.93;1.02
flags;0;110%;0.09;0.03;0.06
flags;0;26%;7.80;0.96;1.07
flags;0;9%;17.26;0.74;0.97
flags;0;15%;15.68;1.15;1.30
flags;0;17%;12.57;1.07;1.15
flags;0;18%;10.67;0.93;1.00
flags;0;110%;0.09;0.04;0.06
flags;0;8%;23.03;0.94;1.04
flags;0;107%;0.19;0.08;0.12
flags;0;109%;0.09;0.02;0.07
memdup;0;638%;91.38;11.12;571.98
memdup;0;631%;66.98;8.54;414.66
memdup;0;756%;76.34;12.28;565.54
memdup;0;755%;57.90;7.17;430.51
memdup;0;528%;77.71;8.63;402.02
memdup;0;599%;71.07;8.65;417.17
memdup;0;754%;59.54;6.41;442.94
memdup;0;770%;108.84;19.51;818.95
memdup;0;637%;64.39;7.96;402.44
memdup;0;765%;79.91;9.65;601.96
memdup;0;511%;77.26;7.88;387.62
memdup;0;672%;67.69;8.13;447.16
memdup;0;584%;73.34;9.33;419.11
memdup;0;653%;64.71;9.25;413.92
memdup;0;638%;93.30;12.06;583.59
memdup;0;762%;72.58;9.35;544.32
memdup;0;614%;73.38;9.77;441.24
memdup;0;749%;64.52;8.10;475.55
memdup;0;762%;66.25;8.59;496.28
kstrdup;0;578%;29.87;12.48;160.29
kstrdup;0;392%;39.50;12.03;142.90
kstrdup;0;660%;20.12;9.98;122.88
kstrdup;0;668%;22.26;9.99;138.83
kstrdup;0;218%;59.77;10.31;120.22
kstrdup;0;610%;22.74;11.54;127.38
kstrdup;0;657%;20.32;9.83;123.75
kstrdup;0;653%;22.94;10.75;139.19
kstrdup;0;448%;29.79;12.88;120.63
kstrdup;0;670%;23.09;10.87;143.87
kstrdup;0;229%;54.55;9.86;115.34
kstrdup;0;312%;42.09;10.52;121.11
kstrdup;0;411%;32.45;10.88;122.84
kstrdup;0;384%;34.16;10.42;120.85
kstrdup;0;584%;24.64;10.91;133.07
kstrdup;0;680%;20.58;10.35;129.66
kstrdup;0;461%;29.03;10.68;123.37
kstrdup;0;663%;20.17;9.94;123.93
kstrdup;0;686%;20.09;9.01;128.85
use_after_iter;0;89%;2.82;1.20;1.31
use_after_iter;0;32%;6.96;1.11;1.14
use_after_iter;0;111%;0.16;0.09;0.09
use_after_iter;0;109%;0.21;0.09;0.14
use_after_iter;0;2%;34.48;0.42;0.57
use_after_iter;0;15%;14.86;1.12;1.14
use_after_iter;0;109%;0.09;0.03;0.06
use_after_iter;0;110%;1.22;0.59;0.74
use_after_iter;0;19%;9.94;0.95;0.96
use_after_iter;0;110%;0.09;0.03;0.07
use_after_iter;0;7%;28.78;1.17;1.08
use_after_iter;0;5%;44.21;1.08;1.14
use_after_iter;0;53%;4.81;1.25;1.30
use_after_iter;0;12%;18.54;1.14;1.11
use_after_iter;0;11%;13.97;0.81;0.81
use_after_iter;0;110%;0.09;0.02;0.07
use_after_iter;0;3%;39.31;0.77;0.76
use_after_iter;0;110%;0.18;0.04;0.15
use_after_iter;0;111%;0.26;0.11;0.17
unsigned_lesser_than_zero;0;13%;18.71;1.28;1.25
unsigned_lesser_than_zero;0;28%;8.17;1.13;1.20
unsigned_lesser_than_zero;0;111%;0.25;0.09;0.19
unsigned_lesser_than_zero;0;110%;0.27;0.10;0.20
unsigned_lesser_than_zero;0;41%;5.03;1.00;1.06
unsigned_lesser_than_zero;0;11%;18.39;1.08;1.10
unsigned_lesser_than_zero;0;110%;0.26;0.10;0.18
unsigned_lesser_than_zero;0;3%;54.08;0.94;0.99
unsigned_lesser_than_zero;0;32%;6.65;1.05;1.12
unsigned_lesser_than_zero;0;110%;0.26;0.11;0.17
unsigned_lesser_than_zero;0;63%;1.82;0.46;0.69
unsigned_lesser_than_zero;0;73%;2.07;0.73;0.80
unsigned_lesser_than_zero;0;17%;10.70;0.84;1.03
unsigned_lesser_than_zero;0;16%;14.69;1.15;1.27
unsigned_lesser_than_zero;0;13%;15.24;0.98;1.03
unsigned_lesser_than_zero;0;111%;0.24;0.08;0.18
unsigned_lesser_than_zero;0;6%;32.23;1.12;1.04
unsigned_lesser_than_zero;0;111%;0.26;0.10;0.19
unsigned_lesser_than_zero;0;108%;0.22;0.09;0.14
pci_free_consistent;0;16%;14.74;1.14;1.32
pci_free_consistent;0;14%;15.70;1.02;1.21
pci_free_consistent;0;110%;0.27;0.11;0.19
pci_free_consistent;0;111%;0.13;0.03;0.11
pci_free_consistent;0;22%;9.53;0.99;1.10
pci_free_consistent;0;70%;3.29;1.21;1.11
pci_free_consistent;0;110%;0.24;0.09;0.18
pci_free_consistent;0;109%;1.77;0.91;1.02
pci_free_consistent;0;19%;10.73;1.03;1.01
pci_free_consistent;0;108%;0.23;0.10;0.15
pci_free_consistent;0;82%;2.52;1.06;1.02
pci_free_consistent;0;10%;21.80;1.11;1.10
pci_free_consistent;0;19%;12.30;1.12;1.29
pci_free_consistent;0;18%;13.05;1.26;1.16
pci_free_consistent;0;17%;11.77;1.05;1.00
pci_free_consistent;0;111%;0.13;0.06;0.07
pci_free_consistent;0;8%;24.78;0.91;1.07
pci_free_consistent;0;111%;0.21;0.08;0.16
pci_free_consistent;0;108%;0.22;0.09;0.15
devm_free;0;21%;12.99;1.37;1.40
devm_free;0;21%;10.90;1.16;1.13
devm_free;0;110%;0.27;0.13;0.17
devm_free;0;111%;0.17;0.06;0.12
devm_free;0;14%;14.72;1.00;1.09
